n_start,pulse_width,xs,groups,initial_params,final_params,uncertainties,redchi,success
470,930,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.2198801089420814, 'norm': 0.39286566915352106, 'temp': 300.0, 'p1': -3.532959955023726, 'cellulose': np.float64(0.028388829464820742), 'α': np.float64(0.9716111705351793), 'ext_l2': 84.25286249693464, 'ext_Gg2': 1040.550585813579, 'ext_L2': 97846.42092497554, 'α0': 21.918444430126677, 'β0': 2.0092806661704707, 'bg0': 405.8446146904025, 'bg1': -348.9245443828404, 'bg2': -792.9299574743491}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",21558.44840404355,False
800,820,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.3087178639374308, 'norm': 0.47536858153488304, 'temp': 300.0, 'p1': -3.282669003338473, 'cellulose': np.float64(0.036170553650519986), 'α': np.float64(0.9638294463494801), 'ext_l2': 15.871807822353535, 'ext_Gg2': 577.4391699310505, 'ext_L2': 64695.09982018507, 'α0': 42.381906457970466, 'β0': 8.731311181064262, 'bg0': -264.3945118128322, 'bg1': -686.9388314165408, 'bg2': -79.75992560107261}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",16965.982240601996,False
880,700,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.2164705939603082, 'norm': 0.4141644593714907, 'temp': 300.0, 'p1': -3.5346629460303856, 'cellulose': np.float64(0.028341893735421706), 'α': np.float64(0.9716581062645783), 'ext_l2': 80.59177293876618, 'ext_Gg2': 985.3487565750918, 'ext_L2': 93230.47264516215, 'α0': 57.73207996075619, 'β0': 3.6644540289108427, 'bg0': 395.5700265818741, 'bg1': -320.905004085158, 'bg2': -789.5237968489528}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",12183.477912934748,False
360,660,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.7389291620259586, 'norm': 0.7147802500854018, 'temp': 300.0, 'p1': -5.126329857356355, 'cellulose': np.float64(0.00590325957641213), 'α': np.float64(0.9940967404235879), 'ext_l2': 1225.1410288895863, 'ext_Gg2': 564.401523946258, 'ext_L2': 16334.925794954825, 'α0': 6882.576848225306, 'β0': 3.20701417460918, 'bg0': 1686.130028946558, 'bg1': -2734.0665036053397, 'bg2': -212.40122683218215}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",6031.479800552032,False
1260,230,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.2086320634688599, 'norm': 0.403693335338563, 'temp': 300.0, 'p1': -3.4555734805162786, 'cellulose': np.float64(0.030603080242644104), 'α': np.float64(0.9693969197573559), 'ext_l2': 0.10597096022968433, 'ext_Gg2': 1060.5000173087903, 'ext_L2': 102370.09619661697, 'α0': 32.70744923241711, 'β0': 5.652442940254573, 'bg0': 391.19805613637436, 'bg1': -282.71110496437177, 'bg2': -772.4953344457317}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",12432.7432848729,False
1850,750,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.2107772308211893, 'norm': 0.40820030803721086, 'temp': 300.0, 'p1': -3.488062645734967, 'cellulose': np.float64(0.029653799717501744), 'α': np.float64(0.9703462002824984), 'ext_l2': 51.29574597077635, 'ext_Gg2': 1068.3066619674664, 'ext_L2': 104177.76004982271, 'α0': 5.251681863680024, 'β0': 11.06954513875431, 'bg0': 368.3709087758325, 'bg1': -238.34548032435123, 'bg2': -735.0463763760636}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",61570.12136832312,False
1570,880,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.2065759052320253, 'norm': 0.4065374360836993, 'temp': 300.0, 'p1': -3.4686283811997853, 'cellulose': np.float64(0.030218150904446846), 'α': np.float64(0.9697818490955531), 'ext_l2': 64.66575804652818, 'ext_Gg2': 1037.416425989156, 'ext_L2': 101961.25596209154, 'α0': 8.406482762050935, 'β0': 6.09891431751733, 'bg0': 357.6033087306423, 'bg1': -235.38590497581754, 'bg2': -782.0670924095903}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",50334.279708427035,False
90,160,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.2277591358052136, 'norm': 0.4043247292411205, 'temp': 300.0, 'p1': -3.370779357672852, 'cellulose': np.float64(0.03322126862101045), 'α': np.float64(0.9667787313789896), 'ext_l2': 59.493791814917984, 'ext_Gg2': 863.8628493702299, 'ext_L2': 100277.7086942388, 'α0': 33.8988012553106, 'β0': 4.476870772455549, 'bg0': 513.0477056605741, 'bg1': -342.8079025009647, 'bg2': -648.6545953770401}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",1056.5760479626363,False
1890,930,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.2063209238292143, 'norm': 0.4152010111799489, 'temp': 300.0, 'p1': -3.465571135119051, 'cellulose': np.float64(0.030307872335950215), 'α': np.float64(0.9696921276640499), 'ext_l2': 0.6968720904004799, 'ext_Gg2': 1053.2432727950459, 'ext_L2': 97833.64131502337, 'α0': 34.87724441345522, 'β0': 5.233680408214788, 'bg0': 400.69832882122137, 'bg1': -342.30397484474815, 'bg2': -745.0795784970978}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",51068.872595976994,False
890,770,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.1823971853893778, 'norm': 0.3982456380607705, 'temp': 300.0, 'p1': -3.1775039180746205, 'cellulose': np.float64(0.04002112197377041), 'α': np.float64(0.9599788780262297), 'ext_l2': 4.758800833497556, 'ext_Gg2': 915.8091574055577, 'ext_L2': 120613.0216948893, 'α0': 3.814341109804839, 'β0': 1.9977094873167611, 'bg0': -383.0338330825325, 'bg1': -486.29661180160474, 'bg2': 307.6448164023459}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",40096.46801442745,False
