n_start,pulse_width,xs,groups,initial_params,final_params,uncertainties,redchi,success
1230,330,xs0,groups0,"{'thickness': 1.152488569722148, 'norm': 0.4504400911488292, 'temp': 300.0, 'p1': -2.14805206686545, 'cellulose': np.float64(0.10451339045066975), 'α': np.float64(0.8954866095493303), 'ext_l2': 0.0, 'ext_Gg2': 1.2720042369013251, 'ext_L2': 91.21870269684918, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.0010838506277650595, 'bg1': -0.005661214701831341, 'bg2': 0.005149517906829715}","{'thickness': 1.0873725145996063, 'norm': 0.41662375268930885, 'temp': 300.0, 'p1': -2.1125484894866684, 'cellulose': np.float64(0.10788314377456414), 'α': np.float64(0.8921168562254359), 'ext_l2': 0.0, 'ext_Gg2': 1.2685030132464359, 'ext_L2': 91.70623687920765, 'α0': 28.160674395848172, 'β0': 11.06250287039786, 'bg0': -0.0010838506277650595, 'bg1': -0.00566121400333941, 'bg2': 0.005149517906829715}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",18126.337746017252,True
70,800,xs0,groups0,"{'thickness': 2.039801215182698, 'norm': 1.1319523145950126, 'temp': 300.0, 'p1': -3.1248170143687624, 'cellulose': np.float64(0.04209510584675575), 'α': np.float64(0.9579048941532442), 'ext_l2': 0.0, 'ext_Gg2': 0.5298786785529197, 'ext_L2': 1784.0513079735997, 'α0': 3.67, 'β0': 3.06, 'bg0': -6.414973177015781e-05, 'bg1': -0.00014219258446246386, 'bg2': 4.154548514634371e-05}","{'thickness': 2.0829133741355794, 'norm': 1.197253061706487, 'temp': 300.0, 'p1': -3.0947634190130824, 'cellulose': np.float64(0.04332377631709858), 'α': np.float64(0.9566762236829014), 'ext_l2': 0.0, 'ext_Gg2': 0.6140288269634864, 'ext_L2': 1737.1754230203207, 'α0': 4.401278494865583, 'β0': 4.088912613306465, 'bg0': -6.414973177015781e-05, 'bg1': -0.00014219258446246386, 'bg2': 4.154548514634371e-05}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",2195.816408525263,True
580,730,xs0,groups0,"{'thickness': 2.3946458196543583, 'norm': 1.3284474558662442, 'temp': 300.0, 'p1': -3.565684070820076, 'cellulose': np.float64(0.027499999999999993), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1001.166728240338, 'ext_L2': 3.8906500047786174, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.018388629774563015, 'bg1': -0.016859709401614964, 'bg2': 0.027075987891294062}","{'thickness': 2.3946456550030817, 'norm': 1.328447349175084, 'temp': 300.0, 'p1': -3.5656794911573115, 'cellulose': np.float64(0.02750012247762108), 'α': np.float64(0.972499877522379), 'ext_l2': 0.0, 'ext_Gg2': 1001.1644781485423, 'ext_L2': 3.8898831166145342, 'α0': 3.669672225127622, 'β0': 3.06018343416392, 'bg0': 0.018388526747003198, 'bg1': -0.01685984490904957, 'bg2': 0.027075911755673587}","{'thickness': 0.20083905811415695, 'norm': 0.4617961990731779, 'temp': 0, 'p1': 0.9211147611912498, 'cellulose': 0.024634169505306905, 'α': 0.024634170016553592, 'ext_l2': 0, 'ext_Gg2': 37.64470150255879, 'ext_L2': 33.69792124274249, 'α0': 1.3670723965023899, 'β0': 0.7947147608429983, 'bg0': 0.051122336184432265, 'bg1': 0.012664222155599108, 'bg2': 0.05730629513238559}",22460.247721177384,True
260,810,xs0,groups0,"{'thickness': 2.0194237506497323, 'norm': 1.0751866139256543, 'temp': 300.0, 'p1': -3.3979119243787856, 'cellulose': np.float64(0.03236078598346321), 'α': np.float64(0.9676392140165369), 'ext_l2': 0.0, 'ext_Gg2': 3.089795886384583, 'ext_L2': 346.41561798559593, 'α0': 3.67, 'β0': 3.06, 'bg0': -1.983833499252796e-06, 'bg1': -2.7245841920375824e-06, 'bg2': -1.0668300092220306e-06}","{'thickness': 2.0149227723642906, 'norm': 1.0711688886908814, 'temp': 300.0, 'p1': -3.3892671113927424, 'cellulose': np.float64(0.03263258298971316), 'α': np.float64(0.9673674170102868), 'ext_l2': 0.0, 'ext_Gg2': 3.0356989201257845, 'ext_L2': 340.26630487615785, 'α0': 4.487835340153661, 'β0': 4.033636326858768, 'bg0': -1.983833499252796e-06, 'bg1': -2.7245841920375824e-06, 'bg2': -1.0668300092220306e-06}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",5372.097542013536,True
420,720,xs0,groups0,"{'thickness': 2.0876906417108936, 'norm': 1.1361492471373966, 'temp': 300.0, 'p1': -3.6722936356311937, 'cellulose': np.float64(0.024788038255367857), 'α': np.float64(0.9752119617446321), 'ext_l2': 0.0, 'ext_Gg2': 5.247719606195078, 'ext_L2': 710.8776945474182, 'α0': 3.67, 'β0': 3.06, 'bg0': -2.5615212507545948e-05, 'bg1': -3.208208363503218e-05, 'bg2': -1.8500257283449173e-05}","{'thickness': 2.1057274878620835, 'norm': 1.1619348283809094, 'temp': 300.0, 'p1': -3.6671753112804844, 'cellulose': np.float64(0.024912067942218362), 'α': np.float64(0.9750879320577817), 'ext_l2': 0.0, 'ext_Gg2': 5.389712988161377, 'ext_L2': 710.0942846381963, 'α0': 2.2660683222061455, 'β0': 2.7104381261982655, 'bg0': -2.5615212507545948e-05, 'bg1': -3.208208363503218e-05, 'bg2': -1.84852397069335e-05}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",6019.460351236474,True
1470,140,xs0,groups0,"{'thickness': 1.9477390021757786, 'norm': 0.9677812117800975, 'temp': 300.0, 'p1': -3.764311696021066, 'cellulose': np.float64(0.02265826475132029), 'α': np.float64(0.9773417352486797), 'ext_l2': 0.0, 'ext_Gg2': 8.682343705185836, 'ext_L2': 437.8547203649497, 'α0': 3.67, 'β0': 3.06, 'bg0': -4.3959589675068855e-06, 'bg1': 1.0058283805847168e-07, 'bg2': -1.2922915630042553e-05}","{'thickness': 1.9257940279450998, 'norm': 0.9387276773749816, 'temp': 300.0, 'p1': -3.8420087430166596, 'cellulose': np.float64(0.021000009493951505), 'α': np.float64(0.9789999905060486), 'ext_l2': 0.0, 'ext_Gg2': 9.744034388200484, 'ext_L2': 1063.3942943411023, 'α0': 3.2674871189963164, 'β0': 2.8726155775369424, 'bg0': -4.3959589675068855e-06, 'bg1': 1.0058283805847168e-07, 'bg2': -1.2922915630042553e-05}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",987.3881312785225,True
980,700,xs0,groups0,"{'thickness': 1.907376120519849, 'norm': 0.9274353343857833, 'temp': 300.0, 'p1': -3.539245360109689, 'cellulose': np.float64(0.028215972703538265), 'α': np.float64(0.9717840272964617), 'ext_l2': 0.0, 'ext_Gg2': 1068.6424388678838, 'ext_L2': 39346.19657288568, 'α0': 3.67, 'β0': 3.06, 'bg0': -3.900425508618355e-05, 'bg1': -3.944395575672388e-05, 'bg2': 3.7616118788719177e-06}","{'thickness': 1.9973775168849444, 'norm': 1.0310430745480446, 'temp': 300.0, 'p1': -3.4398704913939433, 'cellulose': np.float64(0.031072383024244737), 'α': np.float64(0.9689276169757554), 'ext_l2': 0.0, 'ext_Gg2': 1306.4367716272136, 'ext_L2': 42464.52590411709, 'α0': 3.7672539781202103, 'β0': 2.0846593543006944, 'bg0': -3.900425508618355e-05, 'bg1': -3.944395575672388e-05, 'bg2': 3.7616118788719177e-06}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",8942.682081851952,True
1060,940,xs0,groups0,"{'thickness': 1.9286657994429541, 'norm': 0.9344017727000655, 'temp': 300.0, 'p1': -3.8964147439452876, 'cellulose': np.float64(0.0199101471751883), 'α': np.float64(0.9800898528248118), 'ext_l2': 0.0, 'ext_Gg2': 6714.265295384005, 'ext_L2': 2066.8328941805257, 'α0': 3.67, 'β0': 3.06, 'bg0': -2.0917505025863647e-06, 'bg1': 4.41668089479208e-06, 'bg2': -0.011207427945919335}","{'thickness': 1.928344697093915, 'norm': 0.9341014840884362, 'temp': 300.0, 'p1': -3.895708795893718, 'cellulose': np.float64(0.019923927526973837), 'α': np.float64(0.9800760724730261), 'ext_l2': 0.0, 'ext_Gg2': 6719.485390119939, 'ext_L2': 2065.520940733423, 'α0': 3.703350639327853, 'β0': 3.0856388077053847, 'bg0': -2.0917505025863647e-06, 'bg1': 4.41668089479208e-06, 'bg2': -0.011207427945919335}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",11788.146070844492,True
1970,340,xs0,groups0,"{'thickness': 1.8296944540858924, 'norm': 0.8205083319589663, 'temp': 300.0, 'p1': -3.5655620738221447, 'cellulose': np.float64(0.027503262845291462), 'α': np.float64(0.9724967371547085), 'ext_l2': 0.0, 'ext_Gg2': 0.7830960741150861, 'ext_L2': 25327.08126300748, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0005490672774612904, 'bg1': -0.003685718053020537, 'bg2': 0.009029281325638294}","{'thickness': 1.8282997237498877, 'norm': 0.8144649579210445, 'temp': 300.0, 'p1': -3.3997271011118038, 'cellulose': np.float64(0.03230399455079157), 'α': np.float64(0.9676960054492083), 'ext_l2': 0.0, 'ext_Gg2': 208.71305963756416, 'ext_L2': 32413.776276026263, 'α0': 4.218791534119136, 'β0': 5.182229869521692, 'bg0': 0.001350568956695497, 'bg1': -0.003556562471203506, 'bg2': 0.010717893950641155}","{'thickness': 0.17528985152733803, 'norm': 0.22084797960371425, 'temp': 0, 'p1': 0.9114524585635535, 'cellulose': 0.028492410870346423, 'α': 0.028492410308558223, 'ext_l2': 0, 'ext_Gg2': 13831406.587465694, 'ext_L2': 2148032165.1179185, 'α0': 1.4314606206654064, 'β0': 1.6796457820669881, 'bg0': 0.05733061898435639, 'bg1': 0.0185584346899377, 'bg2': 0.053377435608431854}",24444.905847775848,True
770,920,xs0,groups0,"{'thickness': 2.0895428756901486, 'norm': 1.0928515807504444, 'temp': 300.0, 'p1': -3.582558886104122, 'cellulose': np.float64(0.027052284574845587), 'α': np.float64(0.9729477154251543), 'ext_l2': 0.0, 'ext_Gg2': 883.5320877437186, 'ext_L2': 43215.646285092276, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.057176945614628494, 'bg1': -0.020432114601135254, 'bg2': -0.033068768214434385}","{'thickness': 2.089542826313565, 'norm': 1.0929275568469259, 'temp': 300.0, 'p1': -3.582851123200097, 'cellulose': np.float64(0.02704459382351191), 'α': np.float64(0.972955406176488), 'ext_l2': 0.0, 'ext_Gg2': 887.6036683449084, 'ext_L2': 43414.90397510117, 'α0': 3.507017370764056, 'β0': 3.108759771138593, 'bg0': 0.05719598045106977, 'bg1': -0.020458415034227073, 'bg2': -0.033012772095389664}","{'thickness': 0.16759799792889338, 'norm': 0.19486700392000444, 'temp': 0, 'p1': 0.5785997284163539, 'cellulose': 0.015224801009440722, 'α': 0.015224800915440343, 'ext_l2': 0, 'ext_Gg2': 96453945.9548362, 'ext_L2': 4723412616.745575, 'α0': 0.661535605979093, 'β0': 0.4889077723391807, 'bg0': 0.04089943602185131, 'bg1': 0.014334968603183378, 'bg2': 0.03193383950757262}",9465.77300610056,True
1110,870,xs0,groups0,"{'thickness': 1.9862537887602598, 'norm': 0.940920401527037, 'temp': 300.0, 'p1': -3.8217785171704115, 'cellulose': np.float64(0.021419978181445063), 'α': np.float64(0.978580021818555), 'ext_l2': 0.0, 'ext_Gg2': 4576.94237437846, 'ext_L2': 0.12596382908958148, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.00607067346572876, 'bg1': 0.004227895755320787, 'bg2': 0.00932853773701936}","{'thickness': 2.0438347754085977, 'norm': 0.8067975917323246, 'temp': 300.0, 'p1': -6.831007239352077, 'cellulose': np.float64(0.0010786053372048344), 'α': np.float64(0.9989213946627952), 'ext_l2': 0.0, 'ext_Gg2': 4576.318281226719, 'ext_L2': 1.6052860228321642, 'α0': 82.3222094548641, 'β0': 6.641016096484636, 'bg0': -0.014003957970999181, 'bg1': 0.0038816132582724094, 'bg2': 0.03768245119135827}","{'thickness': 1.9056491762558557e-06, 'norm': 0.11234409193366768, 'temp': 0, 'p1': 16.02528194388755, 'cellulose': 0.017266310996654325, 'α': 0.01726629660738741, 'ext_l2': 0, 'ext_Gg2': 4.9877718566328975, 'ext_L2': 22.137239355269074, 'α0': 9406.0976836645, 'β0': 1.2415914022817383, 'bg0': 0.02597177999449426, 'bg1': 0.010709753777341922, 'bg2': 0.022713332263846087}",21784.227377864823,True
200,930,xs0,groups0,"{'thickness': 2.1016222306839767, 'norm': 1.2129578614332626, 'temp': 300.0, 'p1': -3.165021504044857, 'cellulose': np.float64(0.0405034523358204), 'α': np.float64(0.9594965476641795), 'ext_l2': 0.0, 'ext_Gg2': 3277.819170596971, 'ext_L2': 0.5181268642462378, 'α0': 3.67, 'β0': 3.06, 'bg0': -1.393596176058054e-05, 'bg1': -2.478831447660923e-05, 'bg2': 7.152557373046875e-07}","{'thickness': 2.108837756215983, 'norm': 1.227683652682945, 'temp': 300.0, 'p1': -3.1659812217478134, 'cellulose': np.float64(0.040466171344224325), 'α': np.float64(0.9595338286557756), 'ext_l2': 0.0, 'ext_Gg2': 3276.354219944241, 'ext_L2': 0.5835364955686373, 'α0': 1.925665604455274, 'β0': 3.14315198047483, 'bg0': -1.393596176058054e-05, 'bg1': -2.478831447660923e-05, 'bg2': 7.152557373046875e-07}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",6004.593541329209,True
1710,940,xs0,groups0,"{'thickness': 1.9627058807017927, 'norm': 0.9224155029818655, 'temp': 300.0, 'p1': -4.061173534204839, 'cellulose': np.float64(0.01693698493998287), 'α': np.float64(0.9830630150600173), 'ext_l2': 0.0, 'ext_Gg2': 378.37130180566834, 'ext_L2': 68641.34212727835, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0011536438250914216, 'bg1': -0.0018490114016458392, 'bg2': 0.006738858763128519}","{'thickness': 1.962673997210709, 'norm': 0.9205732403447553, 'temp': 300.0, 'p1': -4.057019772333973, 'cellulose': np.float64(0.017006284540042958), 'α': np.float64(0.9829937154599571), 'ext_l2': 0.0, 'ext_Gg2': 389.70381971469845, 'ext_L2': 70694.26771289589, 'α0': 4.470430571338243, 'β0': 3.1974402827291692, 'bg0': 0.0012225647224113345, 'bg1': -0.0019283904694020748, 'bg2': 0.006974957068450749}","{'thickness': 0.1196749255219798, 'norm': 0.1416761722794188, 'temp': 0, 'p1': 0.8829601986853345, 'cellulose': 0.014760508172841559, 'α': 0.014760508375532404, 'ext_l2': 0, 'ext_Gg2': 59222548.59892124, 'ext_L2': 10739591889.066946, 'α0': 0.8998448849336135, 'β0': 0.45575433600706744, 'bg0': 0.034723024815990294, 'bg1': 0.012525617345837795, 'bg2': 0.02728432234723024}",18396.240137245517,True
110,670,xs0,groups0,"{'thickness': 1.9767574977278115, 'norm': 0.9997805994628213, 'temp': 300.0, 'p1': -3.384394383116666, 'cellulose': np.float64(0.03278675460036831), 'α': np.float64(0.9672132453996316), 'ext_l2': 0.0, 'ext_Gg2': 948.1176849096296, 'ext_L2': 30170.327895794602, 'α0': 3.67, 'β0': 3.06, 'bg0': -3.6670826375484467e-08, 'bg1': -0.0008822466479614377, 'bg2': 0.0031942131463438272}","{'thickness': 1.988745286093812, 'norm': 1.0051778448046904, 'temp': 300.0, 'p1': -3.425043051855024, 'cellulose': np.float64(0.03152190842850668), 'α': np.float64(0.9684780915714933), 'ext_l2': 0.0, 'ext_Gg2': 948.1085322612598, 'ext_L2': 27915.894812534316, 'α0': 2.9996309273320025, 'β0': 3.22232957772325, 'bg0': -3.6670826375484467e-08, 'bg1': -0.0012326317373663187, 'bg2': 0.004489528946578503}","{'thickness': 0.0034271157316126243, 'norm': 0.18410415776839345, 'temp': 0, 'p1': 0.7312019653628655, 'cellulose': 0.02232233663184663, 'α': 0.022322335935958403, 'ext_l2': 0, 'ext_Gg2': 794530903.7895583, 'ext_L2': 23416222960.746727, 'α0': 0.7997967095027212, 'β0': 0.8044620642748272, 'bg0': 2.581803665524259e-12, 'bg1': 0.006907535317829697, 'bg2': 0.024928713761127774}",2129.680162351899,True
