 ,stack,counts,err
2290,2290,737.000,27.148
2291,2291,763.000,27.622
2292,2292,716.000,26.758
2293,2293,777.000,27.875
2294,2294,821.000,28.653
2295,2295,760.000,27.568
2296,2296,796.000,28.213
2297,2297,821.000,28.653
2298,2298,770.000,27.749
2299,2299,765.000,27.659
2300,2300,806.000,28.390
2301,2301,787.000,28.054
2302,2302,776.000,27.857
2303,2303,762.000,27.604
2304,2304,851.000,29.172
2305,2305,692.000,26.306
2306,2306,734.000,27.092
2307,2307,747.000,27.331
2308,2308,726.000,26.944
2309,2309,723.000,26.889
2310,2310,749.000,27.368
2311,2311,750.000,27.386
2312,2312,771.000,27.767
2313,2313,717.000,26.777
2314,2314,739.000,27.185
2315,2315,794.000,28.178
2316,2316,729.000,27.000
2317,2317,769.000,27.731
2318,2318,805.000,28.373
2319,2319,804.000,28.355
2320,2320,842.000,29.017
2321,2321,828.000,28.775
2322,2322,704.000,26.533
2323,2323,737.000,27.148
2324,2324,736.000,27.129
2325,2325,756.000,27.495
2326,2326,727.000,26.963
2327,2327,710.000,26.646
2328,2328,709.000,26.627
2329,2329,752.000,27.423
2330,2330,689.000,26.249
2331,2331,739.000,27.185
2332,2332,687.000,26.211
2333,2333,668.000,25.846
2334,2334,762.000,27.604
2335,2335,800.000,28.284
2336,2336,738.000,27.166
2337,2337,726.000,26.944
2338,2338,685.000,26.173
2339,2339,687.000,26.211
2340,2340,744.000,27.276
2341,2341,655.000,25.593
2342,2342,635.000,25.199
2343,2343,764.000,27.641
2344,2344,729.000,27.000
2345,2345,704.000,26.533
2346,2346,680.000,26.077
2347,2347,709.000,26.627
2348,2348,635.000,25.199
2349,2349,733.000,27.074
2350,2350,747.000,27.331
2351,2351,724.000,26.907
2352,2352,724.000,26.907
2353,2353,676.000,26.000
2354,2354,664.000,25.768
2355,2355,614.000,24.779
2356,2356,646.000,25.417
2357,2357,685.000,26.173
2358,2358,740.000,27.203
2359,2359,676.000,26.000
2360,2360,680.000,26.077
2361,2361,666.000,25.807
2362,2362,645.000,25.397
2363,2363,702.000,26.495
2364,2364,694.000,26.344
2365,2365,641.000,25.318
2366,2366,671.000,25.904
2367,2367,662.000,25.729
2368,2368,657.000,25.632
2369,2369,594.000,24.372
2370,2370,663.000,25.749
2371,2371,641.000,25.318
2372,2372,742.000,27.240
2373,2373,626.000,25.020
2374,2374,701.000,26.476
2375,2375,603.000,24.556
2376,2376,631.000,25.120
2377,2377,613.000,24.759
2378,2378,653.000,25.554
2379,2379,762.000,27.604
2380,2380,663.000,25.749
2381,2381,685.000,26.173
2382,2382,620.000,24.900
2383,2383,625.000,25.000
2384,2384,658.000,25.652
2385,2385,566.000,23.791
2386,2386,606.000,24.617
2387,2387,622.000,24.940
2388,2388,642.000,25.338
2389,2389,563.000,23.728
2390,2390,548.000,23.409
2391,2391,681.000,26.096
2392,2392,617.000,24.839
2393,2393,673.000,25.942
2394,2394,667.000,25.826
2395,2395,671.000,25.904
2396,2396,698.000,26.420
2397,2397,695.000,26.363
2398,2398,695.000,26.363
2399,2399,605.000,24.597
2400,2400,598.000,24.454
