n_start,pulse_width,xs,groups,initial_params,final_params,uncertainties,redchi,success
2750,380,xs0,groups3,"{'thickness': 3.4864112769693367, 'norm': 2.8945189793315134, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.7399401728762314, 'bg1': 0.15428392915055156, 'bg2': 0.9007808686001226}","{'thickness': 1.7512071181845743, 'norm': 0.6817322600990091, 'temp': 300.0, 'p1': -13.863536655255478, 'cellulose': np.float64(9.531080047763444e-07), 'α': np.float64(0.9999990468919953), 'ext_l2': 0.0, 'ext_Gg2': 925.5128340248009, 'ext_L2': 14525.217974009742, 'α0': 485.66928163385506, 'β0': 6.928690585561466, 'bg0': -0.7363743700552732, 'bg1': 0.2049188126111403, 'bg2': 0.6195840592263266}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",20655.666381383508,True
3270,610,xs0,groups3,"{'thickness': 2.3093308020649275, 'norm': 1.3083957957270413, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.00794071366544813, 'bg1': -0.01801248488482088, 'bg2': 0.034865838242694736}","{'thickness': 1.666684928591765, 'norm': 0.6642236489599435, 'temp': 300.0, 'p1': -5.382245229172675, 'cellulose': np.float64(0.004576447755954489), 'α': np.float64(0.9954235522440456), 'ext_l2': 0.0, 'ext_Gg2': 223.59712679475453, 'ext_L2': 32189.934291200705, 'α0': 4.524774442859543, 'β0': 4.9008884743514525, 'bg0': -0.00794071366544813, 'bg1': -0.01801248488482088, 'bg2': 0.034865838242694736}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",12496.131921251796,True
3140,890,xs0,groups3,"{'thickness': 2.676130377460657, 'norm': 1.7328639345982295, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -1.2852086678612977, 'bg1': 0.28915231744758785, 'bg2': 1.397346069687046}","{'thickness': 1.8941106560810743, 'norm': 0.8907023705129855, 'temp': 300.0, 'p1': -4.272233038751436, 'cellulose': np.float64(0.013758654688856425), 'α': np.float64(0.9862413453111436), 'ext_l2': 0.0, 'ext_Gg2': 408.05082004487235, 'ext_L2': 23190.268474362118, 'α0': 2.300349971003834, 'β0': 4.496452464752912, 'bg0': 1.8946268900763243, 'bg1': -0.635154879768379, 'bg2': -1.4071713854791597}","{'thickness': 0.11332942672741965, 'norm': 0.22080615669789944, 'temp': 0, 'p1': 1.9242205352961832, 'cellulose': 0.02611042985085107, 'α': 0.026110428618660395, 'ext_l2': 0, 'ext_Gg2': 2708.0950642926914, 'ext_L2': 156833.65407165946, 'α0': 0.4001529734620459, 'β0': 1.1553538814155995, 'bg0': 2.2863977289446464, 'bg1': 0.7665494158725854, 'bg2': 1.7047253668443456}",35606.38911956065,True
3290,130,xs0,groups3,"{'thickness': 3.0541285674360914, 'norm': 2.243130118015362, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.5095488213701174, 'bg1': -0.19252477306872606, 'bg2': -0.24814020155463368}","{'thickness': 2.142491232139292, 'norm': 0.8805035172482465, 'temp': 300.0, 'p1': -6.1776741355287506, 'cellulose': np.float64(0.0020709512542059863), 'α': np.float64(0.9979290487457939), 'ext_l2': 0.0, 'ext_Gg2': 523.9446451947493, 'ext_L2': 52473.41760040275, 'α0': 2.6379054554544163, 'β0': 3.1238829567449895, 'bg0': 0.5010395087301731, 'bg1': -0.16039785323664546, 'bg2': -0.36018191697075963}","{'thickness': 0.14534571168956362, 'norm': 0.19129062578627093, 'temp': 0, 'p1': 9.169472045977612, 'cellulose': 0.01895020326292971, 'α': 0.018950207215599923, 'ext_l2': 0, 'ext_Gg2': 2325082917.832967, 'ext_L2': 233713248464.4571, 'α0': 0.4134326307414585, 'β0': 0.391442970981866, 'bg0': 0.027267258807496267, 'bg1': 0.009414151778343243, 'bg2': 0.02190056634067726}",2020.4619052700252,True
3900,190,xs0,groups3,"{'thickness': 3.689543274626353, 'norm': 3.6342721098358926, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -1.2069358490407467e-05, 'bg1': -7.372582331299782e-06, 'bg2': -1.8847407773137093e-05}","{'thickness': 3.317674333940461, 'norm': 6.000572218653441, 'temp': 300.0, 'p1': -2.999995410635055, 'cellulose': np.float64(0.04742608051017592), 'α': np.float64(0.952573919489824), 'ext_l2': 0.0, 'ext_Gg2': 0.9434566303745395, 'ext_L2': 74.08260593166904, 'α0': 0.904096418231939, 'β0': 0.8050288677846459, 'bg0': -1.2069358490407467e-05, 'bg1': -7.372582331299782e-06, 'bg2': -1.8847407773137093e-05}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",29123.851654831346,True
2200,530,xs0,groups3,"{'thickness': 3.8164900787640352, 'norm': 3.424379797500827, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -3.912858566851355, 'bg1': 1.0017192078521475, 'bg2': 3.884797705570236}","{'thickness': 3.1406365438517265, 'norm': 1.5237177342752863, 'temp': 300.0, 'p1': -7.182645193548794, 'cellulose': np.float64(0.0007590791068491066), 'α': np.float64(0.999240920893151), 'ext_l2': 0.0, 'ext_Gg2': 2079.8317919132965, 'ext_L2': 55540.98629606341, 'α0': 11.738151975206005, 'β0': 6.12903946144016, 'bg0': 1.1720101926475763, 'bg1': -0.35690719715785235, 'bg2': -0.8847202601609752}","{'thickness': 0.8935424759643775, 'norm': 1.8655612841055709, 'temp': 0, 'p1': 78.51324407677393, 'cellulose': 0.059552523856893906, 'α': 0.05955253467341439, 'ext_l2': 0, 'ext_Gg2': 4872.510701396799, 'ext_L2': 125246.83166988121, 'α0': 12.666950070834874, 'β0': 2.2684073412073653, 'bg0': 0.27831716224078384, 'bg1': 0.0814546682284789, 'bg2': 0.2257063935903982}",20323.31968708532,True
1810,810,xs0,groups3,"{'thickness': 2.8397840483910897, 'norm': 1.9919447241579864, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.00042928033508360386, 'bg1': -0.00019730604253709316, 'bg2': -0.0002793186577036977}","{'thickness': 2.3532602281321227, 'norm': 1.819812225674701, 'temp': 300.0, 'p1': -3.1112621406907337, 'cellulose': np.float64(0.042645085698544735), 'α': np.float64(0.9573549143014553), 'ext_l2': 0.0, 'ext_Gg2': 0.028266393747311547, 'ext_L2': 1003.1906287959469, 'α0': 1.2838898104361685, 'β0': 1.4865981139929634, 'bg0': -0.0004292804514989257, 'bg1': -0.00019730604253709316, 'bg2': -0.0002793187741190195}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",27474.878156106897,True
2580,880,xs0,groups3,"{'thickness': 3.172284895916996, 'norm': 2.4813871128891694, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 3.9362338519422337, 'bg1': -1.1079799701692536, 'bg2': -3.4372609584825113}","{'thickness': 2.440190364465949, 'norm': 2.8947212198857444, 'temp': 300.0, 'p1': -2.006987022037938, 'cellulose': np.float64(0.11847127914007699), 'α': np.float64(0.8815287208599231), 'ext_l2': 0.0, 'ext_Gg2': 190.41553129372667, 'ext_L2': 342681.088947137, 'α0': 15.20735761778514, 'β0': 4.6993892241488675, 'bg0': 1.5458381394855678, 'bg1': -0.4383421465754509, 'bg2': -1.3471902958117425}","{'thickness': 0.2575528634300634, 'norm': 1.1645855196171053, 'temp': 0, 'p1': 0.17540397612550684, 'cellulose': 0.018318460750976137, 'α': 0.018318460995159602, 'ext_l2': 0, 'ext_Gg2': 510.9390891350768, 'ext_L2': 750.5770230516861, 'α0': 11.00432191632789, 'β0': 0.8756732745859824, 'bg0': 0.5513591834871052, 'bg1': 0.1561978648479996, 'bg2': 0.48387794302202203}",20645.778247634255,True
2260,890,xs0,groups3,"{'thickness': 2.6730365230690554, 'norm': 1.7215097229557874, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.6804815095383674, 'bg1': 0.14301173470448703, 'bg2': 0.7892139070900157}","{'thickness': 2.0556237739823344, 'norm': 0.7936647609100087, 'temp': 300.0, 'p1': -6.805221081571701, 'cellulose': np.float64(0.0011067489407751048), 'α': np.float64(0.998893251059225), 'ext_l2': 0.0, 'ext_Gg2': 787.3554346224382, 'ext_L2': 85399.57808557786, 'α0': 250.4823623075484, 'β0': 11.49493617862278, 'bg0': 0.4315870302962139, 'bg1': -0.14498508989345282, 'bg2': -0.29313791007734835}","{'thickness': 0.3150344234095747, 'norm': 0.29591333415430066, 'temp': 0, 'p1': 25.364642346822983, 'cellulose': 0.02804122203831644, 'α': 0.028041235814863393, 'ext_l2': 0, 'ext_Gg2': 252.76729632008147, 'ext_L2': 392.30277157698225, 'α0': 197804215069.2533, 'β0': 3.286668223545221, 'bg0': 0.17926727849389426, 'bg1': 0.05446768608946522, 'bg2': 0.1464934113773454}",17106.068994966474,True
3490,100,xs0,groups3,"{'thickness': 2.8633274070055403, 'norm': 1.954663907404099, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 1.1343689208151773, 'bg1': -0.3452088616322726, 'bg2': -0.8859940733527765}","{'thickness': 2.433803561861402, 'norm': 1.0108616537839725, 'temp': 300.0, 'p1': -7.526153681928429, 'cellulose': np.float64(0.0005385165418138527), 'α': np.float64(0.9994614834581862), 'ext_l2': 0.0, 'ext_Gg2': 939.1941050329772, 'ext_L2': 62673.345834358406, 'α0': 5.871443174651944, 'β0': 4.373283515813505, 'bg0': 0.5835759321926162, 'bg1': -0.18656459939666092, 'bg2': -0.40812775236554444}","{'thickness': 0.13148933091322626, 'norm': 0.19276080183846014, 'temp': 0, 'p1': 24.458596950095338, 'cellulose': 0.013164266059980794, 'α': 0.013164268306303899, 'ext_l2': 0, 'ext_Gg2': 57168628.56473378, 'ext_L2': 3820025136.1123333, 'α0': 0.8773791127257583, 'β0': 0.3567376890117963, 'bg0': 1.1052151848072992e-07, 'bg1': 0.0030746869876521242, 'bg2': 0.00678550419651357}",417.2146871598569,True
3390,510,xs0,groups3,"{'thickness': 2.4771153303528233, 'norm': 1.43878928471584, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.7859686897136271, 'bg1': -0.24829417397268116, 'bg2': -0.586135062854737}","{'thickness': 3.818570342670396, 'norm': 1.1344235386987904, 'temp': 300.0, 'p1': -2.3325811130468512, 'cellulose': np.float64(0.08846031378101894), 'α': np.float64(0.9115396862189811), 'ext_l2': 0.0, 'ext_Gg2': 9757.920512558114, 'ext_L2': 645503.9120578303, 'α0': 26.920290854293224, 'β0': 48.6004422565444, 'bg0': -0.5441626432584599, 'bg1': 0.03568547882605344, 'bg2': 0.7671171313850209}","{'thickness': 12.737810278558479, 'norm': 9.136284079884678, 'temp': 0, 'p1': 16.391609416653242, 'cellulose': 1.3217388487559842, 'α': 1.3217388487559842, 'ext_l2': 0, 'ext_Gg2': 12562921.92534605, 'ext_L2': 846883939.4711121, 'α0': 1802.0849401810049, 'β0': 18768.351754569263, 'bg0': 0.5081606066632117, 'bg1': 0.0302822880429441, 'bg2': 0.872277699856484}",361595.54961438925,True
2440,770,xs0,groups3,"{'thickness': 2.585492945796064, 'norm': 1.638202610715437, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.5639107263414189, 'bg1': -0.17886707256548107, 'bg2': -0.4106683396967128}","{'thickness': 3.434775385910831, 'norm': 0.8039918598034171, 'temp': 300.0, 'p1': -7.6784084346467845, 'cellulose': np.float64(0.0004624967452302195), 'α': np.float64(0.9995375032547699), 'ext_l2': 0.0, 'ext_Gg2': 5461.598033516501, 'ext_L2': 327102.6465903812, 'α0': 0.7377645923640903, 'β0': 1.4078190494648162, 'bg0': 0.5729334857314825, 'bg1': -0.1800498574739322, 'bg2': -0.47424802277237177}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",284080.97810732055,True
