n_start,pulse_width,xs,groups,initial_params,final_params,uncertainties,redchi,success
1490,180,xs0,groups2,"{'thickness': 2.4788636874774754, 'norm': 1.6864096752394868, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 2.2117813491497325, 'norm': 1.2024123947509198, 'temp': 300.0, 'p1': -3.7837772413588873, 'cellulose': np.float64(0.022231184616424256), 'α': np.float64(0.9777688153835757), 'ext_l2': 0.0, 'ext_Gg2': 260.4790152097658, 'ext_L2': 26104.10938110197, 'α0': 2.90280305705855, 'β0': 2.9307024534450776, 'bg0': 0.028619754826650023, 'bg1': -0.013404736877419055, 'bg2': -0.004391955561004579}","{'thickness': 0.15550111995194205, 'norm': 0.21512589894629042, 'temp': 0, 'p1': 0.6401821263745047, 'cellulose': 0.013915612638098521, 'α': 0.01391561289415247, 'ext_l2': 0, 'ext_Gg2': 0.0069957184756523965, 'ext_L2': 89987.15178616064, 'α0': 0.4758754900778486, 'β0': 0.4142319173464294, 'bg0': 0.03944126526823034, 'bg1': 0.013481285388915415, 'bg2': 0.031088883910955174}",3674.1920946853984,True
1810,490,xs0,groups2,"{'thickness': 2.3881224141501463, 'norm': 1.3625290183709353, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.043837435892783105, 'bg1': 0.009851463371887803, 'bg2': 0.05454387341160327}","{'thickness': 2.3173911900129234, 'norm': 1.4402929213774824, 'temp': 300.0, 'p1': -3.3553006384340023, 'cellulose': np.float64(0.03372201615229413), 'α': np.float64(0.9662779838477058), 'ext_l2': 0.0, 'ext_Gg2': 854.9289553333577, 'ext_L2': 85493.72000486638, 'α0': 1.9277711281821452, 'β0': 1.3716077937454403, 'bg0': -0.05125243205111474, 'bg1': 0.015728304628282785, 'bg2': 0.04134860809426755}","{'thickness': 0.12471548479833237, 'norm': 0.3042066402888199, 'temp': 0, 'p1': 0.475338507213601, 'cellulose': 0.015488830031512921, 'α': 0.015488830427328557, 'ext_l2': 0, 'ext_Gg2': 2408273595.1097684, 'ext_L2': 240583243636.5886, 'α0': 0.37317656186215503, 'β0': 0.18864885752078497, 'bg0': 0.02179916121882767, 'bg1': 0.00980735375273315, 'bg2': 0.022547928637933423}",26577.25096586154,True
110,810,xs0,groups2,"{'thickness': 3.5645893817621643, 'norm': 2.8800303715936075, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.24603508389554918, 'bg1': -0.08663521881680936, 'bg2': -0.10104574717115611}","{'thickness': 3.5835230867372516, 'norm': 4.293712667682032, 'temp': 300.0, 'p1': -2.864012317984862, 'cellulose': np.float64(0.05396150605402793), 'α': np.float64(0.9460384939459721), 'ext_l2': 0.0, 'ext_Gg2': 1284.0329742351448, 'ext_L2': 128370.84736893183, 'α0': 6.742598153823537, 'β0': 3.0391291882027014, 'bg0': 0.2541008872212842, 'bg1': -0.08897265989799052, 'bg2': -0.12621253193356097}","{'thickness': 0.29630435295654994, 'norm': 1.029498562861824, 'temp': 0, 'p1': 0.30271715116904346, 'cellulose': 0.015453608234662065, 'α': 0.015453607717863164, 'ext_l2': 0, 'ext_Gg2': 1450853321.3849008, 'ext_L2': 144899791180.9914, 'α0': 3.7114486307512644, 'β0': 0.7412668842311535, 'bg0': 0.0023916934880911494, 'bg1': 0.009539790407455628, 'bg2': 0.026520578620870188}",3176.7253994926473,True
1820,450,xs0,groups2,"{'thickness': 2.330889587229022, 'norm': 1.322259525246516, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.002683608909137547, 'bg1': -0.006136748823337257, 'bg2': 0.018939411616884172}","{'thickness': 2.020973183643389, 'norm': 1.0532218048779736, 'temp': 300.0, 'p1': -3.5777544311300282, 'cellulose': np.float64(0.027179027781695977), 'α': np.float64(0.972820972218304), 'ext_l2': 0.0, 'ext_Gg2': 404.34510043743876, 'ext_L2': 42915.86254273594, 'α0': 2.7341661817628373, 'β0': 2.419972877453486, 'bg0': -0.038219975773245096, 'bg1': 0.014882553834468126, 'bg2': 0.024373398395255208}","{'thickness': 0.112234734405121, 'norm': 0.17553056139044318, 'temp': 0, 'p1': 0.436282752450697, 'cellulose': 0.011535459184983355, 'α': 0.011535459525688664, 'ext_l2': 0, 'ext_Gg2': 199189381.37623557, 'ext_L2': 21173413506.92758, 'α0': 0.45380608332861616, 'β0': 0.32860337515340016, 'bg0': 0.03939965711591647, 'bg1': 0.0126642629200832, 'bg2': 0.03125063095103722}",14188.892630705763,True
2200,420,xs0,groups2,"{'thickness': 2.862488581860636, 'norm': 1.8840886355455195, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.13407208037097007, 'bg1': -0.058496222482062876, 'bg2': -0.0372020147042349}","{'thickness': 2.421508708250614, 'norm': 1.3678306767244994, 'temp': 300.0, 'p1': -3.5690706427963637, 'cellulose': np.float64(0.02740957514593746), 'α': np.float64(0.9725904248540624), 'ext_l2': 0.0, 'ext_Gg2': 419.4520891450948, 'ext_L2': 42107.29647848294, 'α0': 1.5630114236047972, 'β0': 2.4427325720541115, 'bg0': 0.13730881072115153, 'bg1': -0.053964060731232166, 'bg2': -0.06203951162751764}","{'thickness': 0.3659388633543995, 'norm': 0.5773380572188054, 'temp': 0, 'p1': 1.0888788667615095, 'cellulose': 0.0290276489076907, 'α': 0.029027648126319777, 'ext_l2': 0, 'ext_Gg2': 1547.1429807259822, 'ext_L2': 2.330005329762787, 'α0': 0.4082454383778159, 'β0': 0.7309093558214482, 'bg0': 0.0787055153477219, 'bg1': 0.026540226843470325, 'bg2': 0.06370531604658945}",43123.35747298712,True
1370,680,xs0,groups2,"{'thickness': 3.8921357823313474, 'norm': 4.468509485743177, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.6681314890738577, 'bg1': 0.19653347856365144, 'bg2': 0.5553813513834029}","{'thickness': 3.8922617328008977, 'norm': 4.468561379862712, 'temp': 300.0, 'p1': -3.5653242441337873, 'cellulose': np.float64(0.02750962475121958), 'α': np.float64(0.9724903752487803), 'ext_l2': 0.0, 'ext_Gg2': 1000.257075884518, 'ext_L2': 100025.70787354565, 'α0': 3.6052838186228136, 'β0': 3.1758066582407802, 'bg0': -0.6681588507490233, 'bg1': 0.19653325632680207, 'bg2': 0.5554191133705899}","{'thickness': 0.5355189631411453, 'norm': 3.846066361708435, 'temp': 0, 'p1': 1.2745299134714665, 'cellulose': 0.034097301693246186, 'α': 0.03409730011183524, 'ext_l2': 0, 'ext_Gg2': 5010156950.1876545, 'ext_L2': 500673498061.2312, 'α0': 2.618418429835438, 'β0': 1.6873030959266018, 'bg0': 0.016308637059821295, 'bg1': 0.012319813400503534, 'bg2': 0.03414102111832523}",238751.06991425276,True
1520,980,xs0,groups2,"{'thickness': 2.214097036845407, 'norm': 1.232087535264373, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.015601050923578441, 'bg1': 0.00258790235966444, 'bg2': 0.020766739849932492}","{'thickness': 2.214097036845407, 'norm': 1.232087535264373, 'temp': 300.0, 'p1': -3.565684070820076, 'cellulose': np.float64(0.027499999999999993), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 999.9999999999998, 'ext_L2': 99999.99999999997, 'α0': 3.6699999999998405, 'β0': 3.059999999999975, 'bg0': -0.015601050923578441, 'bg1': 0.00258790235966444, 'bg2': 0.020766739849932492}","{'thickness': 0.1809913544710696, 'norm': 0.20609711975438702, 'temp': 0, 'p1': 0.4968871464992197, 'cellulose': 0.013288625590960055, 'α': 0.013288626369653077, 'ext_l2': 0, 'ext_Gg2': 14540741.508370148, 'ext_L2': 1453433854.860213, 'α0': 0.6591806159454807, 'β0': 0.4330463184835468, 'bg0': 0.03911426733145888, 'bg1': 0.01498627754746883, 'bg2': 0.02788972212632264}",16573.481881914027,True
1620,390,xs0,groups2,"{'thickness': 3.5260736819376133, 'norm': 2.8745589808677954, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.22069695603568107, 'bg1': -0.07629834674298763, 'bg2': -0.08811276929918677}","{'thickness': 3.530305604932278, 'norm': 2.887880650425435, 'temp': 300.0, 'p1': -3.5637994051587896, 'cellulose': np.float64(0.027550447936462278), 'α': np.float64(0.9724495520635377), 'ext_l2': 0.0, 'ext_Gg2': 1048.4645570463747, 'ext_L2': 104844.14921973551, 'α0': 4.872377545968863, 'β0': 3.1438162009120068, 'bg0': 0.2204838814213872, 'bg1': -0.07616941607557237, 'bg2': -0.08835476101376116}","{'thickness': 0.26566801405198087, 'norm': 0.8051567133759341, 'temp': 0, 'p1': 0.4333343834077852, 'cellulose': 0.011609643782020668, 'α': 0.011609644319923262, 'ext_l2': 0, 'ext_Gg2': 1599233282.4019067, 'ext_L2': 160383694586.3233, 'α0': 1.7336003707328982, 'β0': 0.6768289559973101, 'bg0': 0.01598774367209868, 'bg1': 0.010366554371752037, 'bg2': 0.00015395314635531057}",15724.696923554038,True
750,550,xs0,groups2,"{'thickness': 2.6733648449158176, 'norm': 1.4879059544443183, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.13694037636741996, 'bg1': -0.04790058499202132, 'bg2': -0.0516762756742537}","{'thickness': 2.670068465541296, 'norm': 1.5807920608090453, 'temp': 300.0, 'p1': -3.3300935961484903, 'cellulose': np.float64(0.03455310785849672), 'α': np.float64(0.9654468921415034), 'ext_l2': 0.0, 'ext_Gg2': 1038.736119789942, 'ext_L2': 103814.75249084743, 'α0': 7.0489300075807915, 'β0': 3.669310446996376, 'bg0': 0.1355895329033956, 'bg1': -0.04670651664491743, 'bg2': -0.05536813929211348}","{'thickness': 0.23974000483876348, 'norm': 0.45059777343604346, 'temp': 0, 'p1': 0.5071891249244097, 'cellulose': 0.016919418658142022, 'α': 0.016919419083676616, 'ext_l2': 0, 'ext_Gg2': 1071767734.0678753, 'ext_L2': 107111802031.8931, 'α0': 2.865883479188899, 'β0': 0.7396477251328276, 'bg0': 0.03699470627564451, 'bg1': 0.012499508275358387, 'bg2': 0.03210461579544676}",8197.420169031278,True
1200,320,xs0,groups2,"{'thickness': 2.6618140052545227, 'norm': 1.2442774731458555, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.2039206059416756, 'bg1': -0.07387255609501153, 'bg2': -0.08048901183065027}","{'thickness': 2.6745527295128575, 'norm': 1.2924953063338633, 'temp': 300.0, 'p1': -3.3698774699192136, 'cellulose': np.float64(0.033250247303035635), 'α': np.float64(0.9667497526969643), 'ext_l2': 0.0, 'ext_Gg2': 1132.27115474599, 'ext_L2': 113206.47899273122, 'α0': 6.70625711996225, 'β0': 3.505055353717695, 'bg0': 0.20339452696498483, 'bg1': -0.07355069485493004, 'bg2': -0.08097669307608157}","{'thickness': 0.32445197408504906, 'norm': 0.44996278565651115, 'temp': 0, 'p1': 0.6896070469030088, 'cellulose': 0.022167189809045192, 'α': 0.022167189618460637, 'ext_l2': 0, 'ext_Gg2': 2311288462.097129, 'ext_L2': 230887454299.05695, 'α0': 3.8953927385097873, 'β0': 1.0148828313287404, 'bg0': 0.047724112853473104, 'bg1': 0.018650836592059652, 'bg2': 0.03555447773996829}",10880.816477653101,True
